,Exchange,Crypto,Fiat
0,ABCC,CND,BTC
1,ABCC,CND,ETH
2,ABCC,ELF,ETH
3,ABCC,ELF,BTC
4,ABCC,BEE,BTC
5,ABCC,SALT,BTC
6,ABCC,SALT,ETH
7,ABCC,RTE,ETH
8,ABCC,RTE,BTC
9,ABCC,TRX,ETH
10,ABCC,TRX,BTC
11,ABCC,TRX,USDT
12,ABCC,OCN,ETH
13,ABCC,ARBT,USDT
14,ABCC,MBN,BTC
15,ABCC,MBN,USDT
16,ABCC,LBA,ETH
17,ABCC,GRIN,USDT
18,ABCC,GRIN,BTC
19,ABCC,GNT,ETH
20,ABCC,GNT,BTC
21,ABCC,ADA,ETH
22,ABCC,ADA,BTC
23,ABCC,ADA,USDT
24,ABCC,FUN,BTC
25,ABCC,FUN,ETH
26,ABCC,BAT,ETH
27,ABCC,BAT,BTC
28,ABCC,WAVES,ETH
29,ABCC,WAVES,USDT
30,ABCC,KIN,ETH
31,ABCC,CSM,BTC
32,ABCC,EDG,BTC
33,ABCC,EDG,ETH
34,ABCC,QTUM,ETH
35,ABCC,QTUM,BTC
36,ABCC,REP,ETH
37,ABCC,REP,BTC
38,ABCC,LTC,BTC
39,ABCC,LTC,ETH
40,ABCC,VENA,TRX
41,ABCC,UFR,BTC
42,ABCC,DIO,ETH
43,ABCC,DIO,BTC
44,ABCC,ICX,BTC
45,ABCC,ICX,ETH
46,ABCC,ICX,USDT
47,ABCC,EOS,BTC
48,ABCC,EOS,ETH
49,ABCC,CNN,BTC
50,ABCC,CNN,ETH
51,ABCC,OMG,ETH
52,ABCC,OMG,BTC
53,ABCC,XSN,BTC
54,ABCC,XSN,USDT
55,ABCC,DASH,ETH
56,ABCC,DASH,BTC
57,ABCC,BTT,USDT
58,ABCC,BTT,BTC
59,ABCC,YEE,USDT
60,ABCC,YEE,ETH
61,ABCC,YEE,BTC
62,ABCC,XMX,BTC
63,ABCC,LAMB,BTC
64,ABCC,LAMB,ETH
65,ABCC,SOC,ETH
66,ABCC,SOC,BTC
67,ABCC,DNT,BTC
68,ABCC,DNT,ETH
69,ABCC,GMB,BTC
70,ABCC,SNT,ETH
71,ABCC,SNT,BTC
72,ABCC,KEY,ETH
73,ABCC,KEY,BTC
74,ABCC,ARN,BTC
75,ABCC,BCH,USDT
76,ABCC,BCH,BTC
77,ABCC,BCH,ETH
78,ABCC,PAX,USDT
79,ABCC,PAX,BTC
80,ABCC,IOST,BTC
81,ABCC,IOST,ETH
82,ABCC,ETH,BTC
83,ABCC,ETH,USDT
84,ABCC,MCO,BTC
85,ABCC,MCO,ETH
86,ABCC,XLM,BTC
87,ABCC,XLM,ETH
88,ABCC,XOV,BTC
89,ABCC,GUSD,BTC
90,ABCC,GUSD,USDT
91,ABCC,GNO,ETH
92,ABCC,HOT,ETH
93,ABCC,HOT,BTC
94,ABCC,LEND,ETH
95,ABCC,LEND,BTC
96,ABCC,ZEC,ETH
97,ABCC,ETC,BTC
98,ABCC,ETC,ETH
99,ABCC,ENG,ETH
100,ABCC,ENG,BTC
101,ABCC,IGG,BTC
102,ABCC,IGG,TRX
103,ABCC,WICC,ETH
104,ABCC,WICC,BTC
105,ABCC,STORJ,BTC
106,ABCC,STORJ,ETH
107,ABCC,POWR,ETH
108,ABCC,POWR,BTC
109,ABCC,XDCE,ETH
110,ABCC,DPY,ETH
111,ABCC,DPY,BTC
112,ABCC,XRP,BTC
113,ABCC,XRP,ETH
114,ABCC,ZRX,ETH
115,ABCC,ZRX,BTC
116,ABCC,ZRX,USDT
117,ABCC,KNC,ETH
118,ABCC,KNC,BTC
119,ABCC,BEAM,USDT
120,ABCC,BEAM,BTC
121,ABCC,NPXS,ETH
122,ABCC,NPXS,BTC
123,ABCC,CVC,ETH
124,ABCC,CVC,BTC
125,ABCC,TNS,BTC
126,ABCC,TTU,USDT
127,ABCC,MTV,USDT
128,ABCC,R,BTC
129,ABCC,BNT,BTC
130,ABCC,BNT,ETH
131,ABCC,BTC,USDT
132,ABCC,AT,BTC
133,ABCC,DATX,ETH
134,ABCC,META,ETH
135,ABCC,PTI,BTC
136,ABCC,EPT,BTC
137,ACX,LTC,AUD
138,ACX,EOS,AUD
139,ACX,DASH,BTC
140,ACX,BCH,AUD
141,ACX,ETH,AUD
142,ACX,ETH,USDT
143,ACX,ETC,AUD
144,ACX,XRP,AUD
145,ACX,BTC,USDT
146,ACX,BTC,AUD
147,ACX,DOC,AUD
148,ACX,FUEL,BTC
149,ACX,HSR,AUD
150,ACX,HC,AUD
151,ACX,UBTC,BTC
152,ACX,USDT,AUD
153,Abucoins,TRX,BTC
154,Abucoins,GNT,BTC
155,Abucoins,ADA,BTC
156,Abucoins,WAVES,BTC
157,Abucoins,QTUM,BTC
158,Abucoins,REP,BTC
159,Abucoins,LTC,BTC
160,Abucoins,EOS,BTC
161,Abucoins,OMG,BTC
162,Abucoins,DASH,BTC
163,Abucoins,SNT,BTC
164,Abucoins,BCH,BTC
165,Abucoins,BCH,EUR
166,Abucoins,BCH,USD
167,Abucoins,BCH,PLN
168,Abucoins,ETH,EUR
169,Abucoins,ETH,PLN
170,Abucoins,ETH,USD
171,Abucoins,ETH,BTC
172,Abucoins,XLM,BTC
173,Abucoins,ZEC,BTC
174,Abucoins,ETC,BTC
175,Abucoins,XRP,BTC
176,Abucoins,ZRX,BTC
177,Abucoins,KNC,BTC
178,Abucoins,BTC,USD
179,Abucoins,BTC,PLN
180,Abucoins,BTC,EUR
181,Abucoins,HSR,BTC
182,Abucoins,TNC,BTC
183,Abucoins,BTG,EUR
184,Abucoins,BTG,BTC
185,Abucoins,BTG,PLN
186,Abucoins,BTG,USD
187,Abucoins,SC,BTC
188,Abucoins,MTL,BTC
189,Abucoins,BNB,BTC
190,Abucoins,GAS,BTC
191,Abucoins,XMR,BTC
192,Abucoins,XEM,BTC
193,Abucoins,LSK,PLN
194,Abucoins,LSK,USD
195,Abucoins,LSK,EUR
196,Abucoins,LSK,BTC
197,Abucoins,DOGE,BTC
198,Abucoins,STRAT,BTC
199,Abucoins,NEO,BTC
200,Abucoins,BTMK,BTC
201,Abucoins,ARK,BTC
202,Abucoins,VET,BTC
203,Abucoins,ONT,BTC
204,Abucoins,PIVX,BTC
205,Abucoins,ZPT,BTC
206,Abucoins,DBC,BTC
207,Abucoins,BLOCK,BTC
208,Abucoins,PPT,BTC
209,Abucoins,QLC,BTC
210,Abucoins,ICN,BTC
211,AidosMarket,ADK,BTC
212,BCEX,ELF,CKUSD
213,BCEX,WAVES,CKUSD
214,BCEX,QTUM,CKUSD
215,BCEX,LTC,CKUSD
216,BCEX,LTC,BTC
217,BCEX,EOS,USDT
218,BCEX,EOS,CKUSD
219,BCEX,EOS,ETH
220,BCEX,PAX,USDT
221,BCEX,ETH,ONT
222,BCEX,ETH,EOS
223,BCEX,ETH,BTC
224,BCEX,ETH,USDT
225,BCEX,ETH,CKUSD
226,BCEX,XLM,BTC
227,BCEX,XLM,CKUSD
228,BCEX,XLM,USDT
229,BCEX,ZEC,BTC
230,BCEX,ZEC,CKUSD
231,BCEX,ETC,CKUSD
232,BCEX,ETC,BTC
233,BCEX,XRP,BTC
234,BCEX,XRP,CKUSD
235,BCEX,BTC,XLM
236,BCEX,BTC,VOLLAR
237,BCEX,BTC,USDT
238,BCEX,BTC,CKUSD
239,BCEX,USDT,XLM
240,BCEX,USDT,ETH
241,BCEX,USDT,BTC
242,BCEX,USDT,EOS
243,BCEX,DOGE,BTC
244,BCEX,DOGE,CKUSD
245,BCEX,ONT,ETH
